filename,schedule,dose,gradient,vegf_level,VconcST,Vconc,run,hours,drug_tumour_nM,drug_gut_mgL,drug_blood_mgL,drug_blood_nM,vasc_score,vegfr_inhibition,dll4_average
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,6020.13
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,185.233
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,0.75,0.0,0.0,0.0,0.0,0.000703125,0.0,5961.17
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,187.53
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,5744.17
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,185.995
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,5828.49
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,176.543
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,2.25,0.0,0.0,0.0,0.0,0.00127821,0.0,5753.1
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,186.588
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,2.75,0.0,0.0,0.0,0.0,0.00103082,0.0,5710.24
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,178.191
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,3.25,0.0,0.0,0.0,0.0,0.0,0.0,5871.73
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,184.019
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,3.75,0.0,0.0,0.0,0.0,0.000164931,0.0,5756.96
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,187.127
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,4.25,0.0,0.0,0.0,0.0,0.0,0.0,5778.76
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,182.632
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,4.75,0.0,0.0,0.0,0.0,0.00115451,0.0,5729.97
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,5.0,6.229,80.0,0.002426,6.229,0.0,0.0,180.526
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,5.25,375.476,78.4145,0.146236,375.476,0.0,0.978802,94.5634
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,5.5,736.003,76.8604,0.28665,736.003,0.0,0.989161,45.4753
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,5.75,1087.99,75.3371,0.423739,1087.99,0.0,0.992662,29.7219
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,6.0,1431.61,73.844,0.557568,1431.61,0.0,0.994421,22.0994
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,6.25,1767.04,72.3805,0.688206,1767.04,0.0,0.995479,18.0305
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,6.5,2094.44,70.946,0.815718,2094.44,0.0,0.996185,15.1334
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,6.75,2413.97,69.5399,0.940168,2413.97,0.0,0.99669,12.9056
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,7.0,2725.81,68.1618,1.06162,2725.81,0.0,0.997068,11.4625
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,7.25,3030.1,66.811,1.18013,3030.1,0.0,0.997362,10.1935
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,7.5,3327.0,65.4869,1.29576,3327.0,0.0,0.997598,9.33462
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,7.75,3616.67,64.189,1.40858,3616.67,0.0,0.99779,8.55921
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,8.0,3899.24,62.9168,1.51863,3899.24,0.0,0.99795,7.89971
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,8.25,4174.87,61.6699,1.62598,4174.87,0.0,0.998085,7.40692
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,8.5,4443.7,60.4477,1.73068,4443.7,0.0,0.998201,6.94938
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,8.75,4705.87,59.2497,1.83279,4705.87,0.0,0.998301,6.54374
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,9.0,4961.52,58.0754,1.93236,4961.52,0.0,0.998389,6.20421
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,9.25,5210.77,56.9244,2.02943,5210.77,0.0,0.998466,5.91742
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,9.5,5453.77,55.7962,2.12407,5453.77,0.0,0.998534,5.63441
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,9.75,5690.64,54.6904,2.21633,5690.64,0.0,0.998595,5.39213
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,10.0,5927.73,133.607,2.30867,5927.73,0.0,0.99865,5.15447
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,10.25,6521.97,130.959,2.5401,6521.97,0.0,0.998773,4.75128
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,10.5,7101.72,128.363,2.7659,7101.72,0.0,0.998873,4.35192
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,10.75,7667.3,125.819,2.98618,7667.3,0.0,0.998956,4.01569
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,11.0,8218.99,123.326,3.20104,8218.99,0.0,0.999027,3.75212
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,11.25,8757.08,120.881,3.41061,8757.08,0.0,0.999086,3.49934
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,11.5,9281.85,118.486,3.61499,9281.85,0.0,0.999138,3.30353
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,11.75,9793.57,116.137,3.81429,9793.57,0.0,0.999183,3.13295
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,12.0,10292.5,113.836,4.00861,10292.5,0.0,0.999223,2.97985
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,12.25,10778.9,111.58,4.19806,10778.9,0.0,0.999258,2.84057
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,12.5,11253.1,109.368,4.38273,11253.1,0.0,0.999289,2.72372
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,12.75,11715.3,107.201,4.56273,11715.3,0.0,0.999317,2.61319
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,13.0,12165.7,105.076,4.73815,12165.7,0.0,0.999342,2.51505
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,13.25,12604.5,102.994,4.90908,12604.5,0.0,0.999365,2.4293
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,13.5,13032.2,100.952,5.07562,13032.2,0.0,0.999386,2.35398
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,13.75,13448.7,98.9516,5.23786,13448.7,0.0,0.999405,2.28098
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,14.0,13854.5,96.9905,5.39589,13854.5,0.0,0.999423,2.20869
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,14.25,14249.6,95.0683,5.54979,14249.6,0.0,0.999439,2.14791
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,14.5,14634.4,93.1841,5.69965,14634.4,0.0,0.999453,2.08497
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,14.75,15009.1,91.3373,5.84556,15009.1,0.0,0.999467,2.03177
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,15.0,15380.0,169.527,5.99002,15380.0,0.0,0.99948,1.98495
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,15.25,16104.2,166.167,6.27208,16104.2,0.0,0.999503,1.90222
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,15.5,16810.1,162.874,6.54702,16810.1,0.0,0.999524,1.82531
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,15.75,17498.2,159.646,6.815,17498.2,0.0,0.999543,1.7561
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,16.0,18168.7,156.482,7.07616,18168.7,0.0,0.99956,1.68377
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,16.25,18822.1,153.381,7.33064,18822.1,0.0,0.999575,1.62512
1200_dose_80_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,80.0,0,2.4,0.04,2.4,0,16.5,19458.8,150.341,7.57858,19458.8,0.0,0.999589,1.5711
