filename,schedule,dose,gradient,vegf_level,VconcST,Vconc,run,hours,drug_tumour_nM,drug_gut_mgL,drug_blood_mgL,drug_blood_nM,vasc_score,vegfr_inhibition,dll4_average
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,580.745
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,560.78
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,582.518
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,575.873
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,2.5,0.0155725,0.2,6.06501e-06,0.0155725,0.0,0.0,566.678
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,2.75,0.938689,0.196036,0.00036559,0.938689,0.0,0.103489,10000.0
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,3.0,1.84001,0.192151,0.000716626,1.84001,0.0,0.185764,459.05
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,3.25,2.71998,0.188343,0.00105935,2.71998,0.0,0.252719,10000.0
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,3.5,3.57903,0.18461,0.00139392,3.57903,0.0,0.308251,322.684
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,3.75,4.4176,0.180951,0.00172052,4.4176,0.0,0.355036,8292.66
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,4.0,5.23609,0.177365,0.0020393,5.23609,0.0,0.394976,255.946
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,4.25,6.03493,0.17385,0.00235042,6.03493,0.0015625,0.429459,6826.41
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,4.5,6.81452,0.170404,0.00265405,6.81452,0.0,0.459521,209.783
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,4.75,7.57525,0.167027,0.00295032,7.57525,0.0,0.485951,6204.48
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,5.0,8.33307,0.363717,0.00324547,8.33307,0.0,0.509361,196.813
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,5.25,9.98035,0.356508,0.00388704,9.98035,0.0,0.554397,5239.56
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,5.5,11.5881,0.349443,0.00451321,11.5881,0.0,0.591036,142.829
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,5.75,13.1571,0.342517,0.0051243,13.1571,0.0,0.621415,4044.26
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,6.0,14.6883,0.335729,0.00572063,14.6883,0.0,0.647003,117.682
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,6.25,16.1823,0.329075,0.00630249,16.1823,0.0,0.668842,3525.58
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,6.5,17.6399,0.322553,0.00687019,17.6399,0.0,0.687694,86.471
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,6.75,19.0619,0.316161,0.007424,19.0619,0.0,0.704125,3089.69
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,7.0,20.4489,0.309895,0.00796423,20.4489,0.0,0.718569,80.8945
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,7.25,21.8018,0.303753,0.00849114,21.8018,0.0,0.731359,2787.24
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,7.5,23.1368,0.497733,0.00901108,23.1368,0.0,0.742761,68.7048
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,7.75,25.3466,0.487868,0.0098717,25.3466,0.0,0.759833,2490.92
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,8.0,27.5024,0.478199,0.0107113,27.5024,0.0,0.774438,60.0253
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,8.25,29.6054,0.468722,0.0115304,29.6054,0.0,0.787069,2100.97
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,8.5,31.6567,0.459433,0.0123293,31.6567,0.0,0.798097,227.81
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,8.75,33.6574,0.450327,0.0131085,33.6574,0.0,0.807805,1330.95
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,9.0,35.6084,0.441402,0.0138684,35.6084,0.0,0.816414,1103.86
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,9.25,37.5108,0.432654,0.0146093,37.5108,0.0,0.824097,812.608
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,9.5,39.3657,0.424079,0.0153317,39.3657,0.0,0.830992,1281.59
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,9.75,41.1739,0.415675,0.016036,41.1739,0.0,0.837214,859.762
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,10.0,42.9521,0.607436,0.0167285,42.9521,0.0,0.842852,1205.21
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,10.25,45.593,0.595398,0.0177571,45.593,0.0133919,0.850606,1277.63
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,10.5,48.1685,0.583598,0.0187601,48.1685,0.0,0.857464,1156.23
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,10.75,50.6796,0.572032,0.0197381,50.6796,0.0575304,0.86357,1067.4
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,11.0,53.1279,0.560695,0.0206917,53.1279,0.0,0.869041,1022.93
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,11.25,55.5145,0.549582,0.0216212,55.5145,0.0,0.873967,994.415
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,11.5,57.8408,0.53869,0.0225272,57.8408,0.0,0.878424,862.441
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,11.75,60.108,0.528013,0.0234102,60.108,0.0,0.882475,811.146
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,12.0,62.3174,0.517549,0.0242707,62.3174,0.0,0.886171,766.422
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,12.25,64.47,0.507291,0.0251091,64.47,0.0,0.889556,720.064
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,12.5,66.5827,0.697238,0.0259319,66.5827,0.0,0.892664,740.094
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,12.75,69.5486,0.683419,0.027087,69.5486,0.0,0.896774,691.286
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,13.0,72.4395,0.669875,0.0282129,72.4395,0.0,0.900487,676.3
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,13.25,75.2569,0.656599,0.0293102,75.2569,0.0,0.903858,651.5
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,13.5,78.0023,0.643586,0.0303795,78.0023,0.0,0.90693,626.854
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,13.75,80.6772,0.63083,0.0314213,80.6772,0.0,0.90974,624.947
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,14.0,83.2832,0.618328,0.0324362,83.2832,0.0,0.912319,600.787
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,14.25,85.8215,0.606074,0.0334248,85.8215,0.0,0.914694,589.464
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,14.5,88.2936,0.594062,0.0343876,88.2936,0.0,0.916886,595.643
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,14.75,90.7009,0.582288,0.0353252,90.7009,0.0,0.918915,582.111
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,15.0,93.0604,0.770748,0.0362441,93.0604,0.0,0.920797,565.191
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,15.25,96.2652,0.755473,0.0374923,96.2652,0.0,0.923234,544.778
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,15.5,99.3873,0.7405,0.0387083,99.3873,0.0,0.925468,534.468
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,15.75,102.428,0.725824,0.0398927,102.428,0.0,0.927522,509.395
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,16.0,105.39,0.711439,0.0410463,105.39,0.0,0.929417,506.469
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,16.25,108.275,0.697339,0.0421696,108.275,0.0,0.931169,507.192
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,16.5,111.083,0.683519,0.0432634,111.083,0.0,0.932794,484.793
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,16.75,113.817,0.669972,0.0443281,113.817,0.0,0.934303,474.127
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,17.0,116.478,0.656694,0.0453645,116.478,0.0,0.935709,463.692
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,17.25,119.067,0.643679,0.046373,119.067,0.0,0.93702,471.835
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,17.5,121.603,0.830922,0.0473604,121.603,0.0,0.938246,465.398
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,17.75,124.977,0.814454,0.0486746,124.977,0.0,0.939814,437.082
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,18.0,128.262,0.798313,0.0499542,128.262,0.0,0.941266,430.99
600_dose_0.2_gradient_0_VconcST_0.04_Vconc_4.8_run_0.csv,600.0,0.2,0,4.8,0.04,4.8,0,18.25,131.461,0.782491,0.0512,131.461,0.0,0.942615,429.698
