generation,schedule,dose,vegfconc,vascular,time,converged_at
1,6260,0.07,8.0,1.0,12.5,
2,6260,0.07,8.0,1.0,12.5,
2,6260,0.07,8.0,1.0,12.5,
3,6260,0.07,8.0,1.0,12.5,
3,6260,0.07,8.0,1.0,12.5,
3,6260,0.07,8.0,1.0,12.5,
4,6260,0.07,8.0,1.0,12.5,
4,6260,0.07,8.0,1.0,12.5,
4,6260,0.07,8.0,1.0,12.5,
4,6260,0.07,8.0,1.0,12.5,
5,6260,0.07,8.0,1.0,12.5,
5,6260,0.07,8.0,1.0,12.5,
5,6260,0.07,8.0,1.0,12.5,
5,6260,0.07,8.0,1.0,12.5,
5,6260,0.07,8.0,1.0,12.5,
5,6260,0.07,8.0,1.0,12.5,
5,6260,0.07,8.0,1.0,12.5,
6,6260,0.07,8.0,1.0,12.5,
6,6260,0.07,8.0,1.0,12.5,
6,6260,0.07,8.0,1.0,12.5,
6,6260,0.07,8.0,1.0,12.5,
6,6260,0.07,8.0,1.0,12.5,
6,6260,0.07,8.0,1.0,12.5,
6,6260,0.07,8.0,1.0,12.5,
6,6260,0.07,8.0,1.0,12.5,
6,6260,0.07,8.0,1.0,12.5,
