schedule,dose,vegfconc,vascular,time
340,0.19,8.0,1.0,10.0
340,0.17,8.0,1.0,10.5
340,0.17,8.0,1.0,10.5
340,0.17,8.0,1.0,10.5
340,0.17,8.0,1.0,10.5
340,0.19,8.0,1.0,10.75
340,0.17,8.0,0.997917,11.5
540,0.19,8.0,1.0,12.5
340,0.19,8.0,0.972969,11.0
340,0.17,8.0,0.992708,11.5
340,0.1,8.0,1.0,12.75
340,0.1,8.0,1.0,12.75
540,0.17,8.0,1.0,12.75
340,0.1,8.0,1.0,12.75
340,0.1,8.0,1.0,12.75
340,0.19,8.0,0.968811,11.0
340,0.1,8.0,1.0,13.0
340,0.19,8.0,0.936586,11.0
340,0.17,8.0,0.957376,11.5
340,0.1,8.0,1.0,13.0
340,0.1,8.0,1.0,13.0
340,0.1,8.0,1.0,13.0
340,0.1,8.0,1.0,13.0
340,0.1,8.0,1.0,13.0
