generation,schedule,dose,vegfconc,vascular,time,converged_at
1,310,0.12,8.0,1.0,12.5,
1,310,0.16,8.0,0.909583,11.5,
2,310,0.12,8.0,1.0,12.5,
2,310,0.16,8.0,0.909583,11.5,
3,310,0.12,8.0,1.0,12.5,
3,570,0.2,8.0,1.0,12.5,
3,310,0.12,8.0,1.0,12.5,
3,310,0.16,8.0,0.909583,11.5,
4,310,0.12,8.0,1.0,12.5,
4,570,0.2,8.0,1.0,12.5,
4,310,0.12,8.0,1.0,12.5,
4,310,0.12,8.0,1.0,12.5,
4,520,0.18,8.0,1.0,12.5,
4,520,0.17,8.0,1.0,12.5,
4,310,0.16,8.0,0.909583,11.5,
5,310,0.16,8.0,0.909583,11.5,
5,520,0.2,8.0,1.0,11.75,
6,520,0.2,8.0,1.0,11.75,
6,500,0.2,8.0,1.0,11.75,
6,520,0.2,8.0,1.0,11.75,
6,310,0.2,8.0,0.979206,10.5,
7,310,0.2,8.0,0.979206,10.5,
7,310,0.2,8.0,0.979206,10.5,
7,310,0.16,8.0,1.0,11.0,
8,310,0.2,8.0,0.979206,10.5,
8,310,0.2,8.0,0.979206,10.5,
8,310,0.16,8.0,1.0,11.0,
8,420,0.2,8.0,1.0,11.0,
9,310,0.2,8.0,0.979206,10.5,
9,310,0.2,8.0,0.979206,10.5,
9,310,0.16,8.0,1.0,11.0,
9,420,0.2,8.0,1.0,11.0,
10,310,0.2,8.0,0.979206,10.5,
10,310,0.2,8.0,0.979206,10.5,
10,310,0.2,8.0,0.979206,10.5,
10,310,0.2,8.0,0.979206,10.5,
10,310,0.16,8.0,1.0,11.0,
10,420,0.2,8.0,1.0,11.0,
10,420,0.2,8.0,1.0,11.0,
10,310,0.16,8.0,1.0,11.0,
11,310,0.2,8.0,0.979206,10.5,
11,310,0.2,8.0,0.979206,10.5,
11,310,0.2,8.0,0.979206,10.5,
11,310,0.2,8.0,0.979206,10.5,
11,310,0.16,8.0,1.0,11.0,
11,420,0.2,8.0,1.0,11.0,
11,420,0.2,8.0,1.0,11.0,
11,310,0.16,8.0,1.0,11.0,
11,310,0.16,8.0,1.0,11.0,
11,310,0.16,8.0,1.0,11.0,
12,360,0.2,8.0,1.0,10.0,
13,360,0.2,8.0,1.0,10.0,
13,360,0.2,8.0,1.0,10.0,
14,360,0.2,8.0,1.0,10.0,
14,360,0.2,8.0,1.0,10.0,
15,360,0.2,8.0,1.0,10.0,
15,360,0.2,8.0,1.0,10.0,
16,360,0.2,8.0,1.0,10.0,
16,360,0.2,8.0,1.0,10.0,
17,360,0.2,8.0,1.0,10.0,
17,360,0.2,8.0,1.0,10.0,
