schedule,dose,vegfconc,vascular,time
350,0.18,8.0,1.0,10.5
350,0.18,8.0,1.0,10.5
350,0.17,8.0,1.0,11.5
480,0.2,8.0,1.0,11.5
350,0.17,8.0,1.0,11.5
430,0.18,8.0,1.0,11.5
500,0.2,8.0,1.0,12.0
230,0.09,8.0,1.0,12.0
350,0.15,8.0,1.0,12.0
350,0.15,8.0,1.0,12.0
350,0.16,8.0,0.978125,11.75
480,0.2,8.0,1.0,12.25
480,0.2,8.0,1.0,12.25
430,0.15,8.0,1.0,12.25
350,0.15,8.0,1.0,12.25
350,0.16,8.0,0.955297,12.0
350,0.16,8.0,0.955297,12.0
350,0.17,8.0,0.901489,11.75
480,0.2,8.0,1.0,12.5
500,0.2,8.0,1.0,12.75
230,0.09,8.0,1.0,12.75
350,0.14,8.0,1.0,12.75
500,0.2,8.0,1.0,12.75
350,0.1,8.0,1.0,13.0
350,0.12,8.0,1.0,13.0
350,0.12,8.0,1.0,13.0
480,0.15,8.0,1.0,13.0
350,0.1,8.0,1.0,13.0
350,0.1,8.0,1.0,13.0
350,0.1,8.0,1.0,13.0
480,0.15,8.0,1.0,13.0
500,0.2,8.0,1.0,13.0
430,0.18,8.0,0.95,12.75
350,0.09,8.0,1.0,13.25
480,0.17,8.0,1.0,13.25
480,0.17,8.0,1.0,13.25
480,0.18,8.0,1.0,13.25
350,0.12,8.0,1.0,13.25
350,0.12,8.0,1.0,13.25
350,0.14,8.0,0.957292,13.0
430,0.18,8.0,0.9125,12.75
5210,0.15,8.0,1.0,13.5
500,0.13,8.0,1.0,13.5
5210,0.15,8.0,1.0,13.5
5210,0.15,8.0,1.0,13.5
350,0.09,8.0,1.0,13.5
350,0.09,8.0,1.0,13.5
430,0.15,8.0,1.0,13.5
350,0.12,8.0,1.0,13.5
350,0.12,8.0,1.0,13.5
350,0.12,8.0,1.0,13.5
430,0.15,8.0,1.0,13.5
350,0.12,8.0,1.0,13.5
350,0.09,8.0,1.0,13.5
350,0.09,8.0,1.0,13.5
500,0.2,8.0,0.971875,13.25
350,0.14,8.0,0.909434,12.75
350,0.14,8.0,0.909434,12.75
430,0.15,8.0,1.0,13.75
430,0.15,8.0,1.0,13.75
430,0.14,8.0,1.0,13.75
350,0.12,8.0,1.0,13.75
500,0.17,8.0,1.0,13.75
350,0.09,8.0,1.0,13.75
350,0.12,8.0,1.0,13.75
350,0.12,8.0,1.0,13.75
430,0.15,8.0,1.0,13.75
500,0.17,8.0,1.0,13.75
350,0.12,8.0,1.0,13.75
500,0.13,8.0,1.0,13.75
480,0.18,8.0,1.0,13.75
480,0.12,8.0,1.0,13.75
350,0.12,8.0,1.0,13.75
500,0.2,8.0,0.963542,13.25
500,0.2,8.0,0.963542,13.25
6740,0.15,8.0,1.0,14.0
350,0.12,8.0,1.0,14.0
3400,0.18,8.0,1.0,14.0
6740,0.15,8.0,1.0,14.0
350,0.12,8.0,1.0,14.0
6740,0.15,8.0,1.0,14.0
3400,0.18,8.0,1.0,14.0
500,0.13,8.0,1.0,14.0
480,0.12,8.0,1.0,14.0
350,0.12,8.0,1.0,14.0
430,0.15,8.0,1.0,14.0
500,0.18,8.0,1.0,14.0
350,0.12,8.0,1.0,14.0
430,0.15,8.0,1.0,14.0
480,0.12,8.0,1.0,14.0
500,0.2,8.0,0.957292,13.25
1090,0.18,8.0,1.0,14.25
3310,0.09,8.0,1.0,14.25
350,0.1,8.0,1.0,14.25
500,0.12,8.0,1.0,14.25
480,0.15,8.0,1.0,14.25
350,0.12,8.0,0.994792,14.0
350,0.12,8.0,0.95,13.75
500,0.2,8.0,0.932292,13.25
350,0.1,8.0,1.0,14.5
