schedule,dose,vegfconc,vascular,time
1100,1.06,8.0,1.0,9.5
1100,1.06,8.0,1.0,9.5
1100,1.06,8.0,1.0,9.5
1100,1.06,8.0,1.0,9.5
1000,1.61,8.0,0.769021,8.25
1000,1.61,8.0,0.769021,8.25
1050,1.4,8.0,0.995838,8.75
1050,1.4,8.0,0.995838,8.75
1050,1.4,8.0,0.982324,8.75
1050,1.4,8.0,0.982324,8.75
1050,1.4,8.0,0.982324,8.75
1050,1.4,8.0,0.982324,8.75
1050,1.4,8.0,0.982324,8.75
1050,1.4,8.0,0.982324,8.75
1000,1.12,8.0,0.95625,9.0
1000,1.12,8.0,0.95625,9.0
1000,1.12,8.0,0.95625,9.0
1000,1.12,8.0,0.95625,9.0
950,0.83,8.0,0.958333,9.75
1050,1.4,8.0,0.912678,8.75
1050,1.4,8.0,0.912678,8.75
1050,1.06,8.0,0.95625,9.5
1050,1.31,8.0,0.924375,9.0
1100,1.4,8.0,0.893496,9.0
1100,1.4,8.0,0.893496,9.0
1100,1.06,8.0,0.921387,10.0
1100,1.06,8.0,0.921387,10.0
1050,1.31,8.0,0.841092,9.25
1050,1.31,8.0,0.841092,9.25
1050,1.31,8.0,0.841092,9.25
1050,1.31,8.0,0.841092,9.25
1050,1.31,8.0,0.820859,9.0
1050,1.31,8.0,0.834727,9.25
1100,1.06,8.0,0.799212,10.0
1100,1.06,8.0,0.799212,10.0
1100,1.06,8.0,0.799212,10.0
1100,1.06,8.0,0.799212,10.0
1100,1.01,8.0,0.829271,10.25
1100,1.06,8.0,0.803811,10.25
910,0.62,8.0,0.763264,10.25
910,0.62,8.0,0.763264,10.25
1100,1.06,8.0,0.753815,10.25
1050,1.4,8.0,0.741879,99999.0
1050,1.4,8.0,0.741879,99999.0
1480,1.49,8.0,0.720495,99999.0
910,1.4,8.0,0.71987,99999.0
1100,1.06,8.0,0.718338,99999.0
1050,1.06,8.0,0.71227,99999.0
1050,1.06,8.0,0.703099,99999.0
910,0.62,8.0,0.682708,99999.0
1100,1.06,8.0,0.6825,99999.0
910,0.62,8.0,0.681237,99999.0
1480,1.49,8.0,0.676823,99999.0
1480,1.49,8.0,0.676823,99999.0
1550,1.55,8.0,0.665052,99999.0
1550,1.55,8.0,0.665052,99999.0
1050,1.31,8.0,0.660454,99999.0
1050,1.31,8.0,0.660454,99999.0
1050,1.31,8.0,0.649761,99999.0
1050,1.31,8.0,0.64352,99999.0
1050,1.31,8.0,0.64352,99999.0
1050,1.06,8.0,0.633392,99999.0
1530,1.68,8.0,0.629375,99999.0
1050,1.4,8.0,0.626797,99999.0
1550,1.91,8.0,0.622355,99999.0
1550,1.91,8.0,0.622355,99999.0
1050,1.31,8.0,0.608461,99999.0
1050,1.31,8.0,0.607815,99999.0
1200,1.23,8.0,0.60288,99999.0
1050,1.55,8.0,0.597122,99999.0
1050,1.55,8.0,0.597122,99999.0
1050,1.4,8.0,0.595217,99999.0
1550,1.4,8.0,0.585282,99999.0
1550,1.4,8.0,0.583984,99999.0
1550,1.4,8.0,0.583984,99999.0
1550,1.4,8.0,0.583984,99999.0
1550,1.4,8.0,0.583984,99999.0
1550,1.4,8.0,0.583984,99999.0
1550,1.55,8.0,0.580091,99999.0
1550,1.4,8.0,0.576198,99999.0
1050,1.31,8.0,0.550286,99999.0
1100,1.49,8.0,0.547693,99999.0
1100,1.4,8.0,0.52819,99999.0
1100,1.31,8.0,0.521984,99999.0
1100,1.31,8.0,0.521984,99999.0
1100,1.06,8.0,0.514238,99999.0
1050,1.31,8.0,0.509824,99999.0
1050,1.31,8.0,0.509824,99999.0
1050,1.31,8.0,0.509824,99999.0
1050,1.31,8.0,0.509824,99999.0
1050,1.06,8.0,0.502467,99999.0
1050,1.31,8.0,0.498789,99999.0
1050,1.31,8.0,0.498437,99999.0
910,1.4,8.0,0.494284,99999.0
1550,1.4,8.0,0.493494,99999.0
1200,1.23,8.0,0.492667,99999.0
1200,1.23,8.0,0.492667,99999.0
1550,1.4,8.0,0.491246,99999.0
1550,1.31,8.0,0.490122,99999.0
1050,0.97,8.0,0.489438,99999.0
