schedule,dose,vegfconc,vascular,time
1090,1.16,8.0,1.0,9.25
1090,1.16,8.0,1.0,9.25
1090,1.16,8.0,1.0,9.25
1090,1.16,8.0,1.0,9.25
1170,1.42,8.0,1.0,9.25
1090,1.16,8.0,1.0,9.25
1090,1.16,8.0,1.0,9.25
1090,1.16,8.0,1.0,9.25
1090,1.16,8.0,1.0,9.25
1090,1.16,8.0,1.0,9.25
1090,1.16,8.0,1.0,9.25
1090,1.16,8.0,1.0,9.25
1090,1.16,8.0,1.0,9.25
1090,1.16,8.0,1.0,9.25
1090,1.16,8.0,1.0,9.25
1090,1.16,8.0,1.0,9.25
1090,1.16,8.0,1.0,9.25
1090,1.16,8.0,1.0,9.25
1090,1.16,8.0,1.0,9.25
1090,1.16,8.0,1.0,9.25
1170,1.42,8.0,1.0,9.25
1090,1.16,8.0,1.0,9.25
1090,1.16,8.0,1.0,9.25
1090,1.16,8.0,1.0,9.25
1090,1.16,8.0,1.0,9.25
1040,1.46,8.0,0.776424,8.75
1090,1.29,8.0,0.998958,9.0
1090,1.29,8.0,0.998958,9.0
