generation,schedule,dose,vegfconc,vascular,time,converged_at
1,1320,1.16,8.0,0.771489,10.25,
2,1320,1.16,8.0,0.771489,10.25,
3,1320,1.16,8.0,0.862005,10.25,
3,1090,1.29,8.0,0.860187,9.25,
4,1090,1.16,8.0,1.0,9.25,
5,1090,1.16,8.0,1.0,9.25,
5,1090,1.16,8.0,1.0,9.25,
6,1090,1.16,8.0,1.0,9.25,
6,1090,1.16,8.0,1.0,9.25,
7,1090,1.16,8.0,1.0,9.25,
7,1090,1.16,8.0,1.0,9.25,
7,1090,1.16,8.0,1.0,9.25,
8,1090,1.16,8.0,1.0,9.25,
8,1090,1.16,8.0,1.0,9.25,
8,1090,1.16,8.0,1.0,9.25,
8,1090,1.16,8.0,1.0,9.25,
8,1170,1.42,8.0,1.0,9.25,
9,1090,1.16,8.0,1.0,9.25,
9,1090,1.16,8.0,1.0,9.25,
9,1090,1.16,8.0,1.0,9.25,
9,1090,1.16,8.0,1.0,9.25,
9,1170,1.42,8.0,1.0,9.25,
9,1090,1.16,8.0,1.0,9.25,
9,1090,1.16,8.0,1.0,9.25,
9,1090,1.16,8.0,1.0,9.25,
9,1040,1.46,8.0,0.776424,8.75,
10,1090,1.16,8.0,1.0,9.25,
10,1090,1.16,8.0,1.0,9.25,
10,1090,1.16,8.0,1.0,9.25,
10,1090,1.16,8.0,1.0,9.25,
10,1170,1.42,8.0,1.0,9.25,
10,1090,1.16,8.0,1.0,9.25,
10,1090,1.16,8.0,1.0,9.25,
10,1090,1.16,8.0,1.0,9.25,
10,1090,1.16,8.0,1.0,9.25,
10,1040,1.46,8.0,0.776424,8.75,
11,1090,1.16,8.0,1.0,9.25,
11,1090,1.16,8.0,1.0,9.25,
11,1090,1.16,8.0,1.0,9.25,
11,1090,1.16,8.0,1.0,9.25,
11,1170,1.42,8.0,1.0,9.25,
11,1090,1.16,8.0,1.0,9.25,
11,1090,1.16,8.0,1.0,9.25,
11,1090,1.16,8.0,1.0,9.25,
11,1090,1.16,8.0,1.0,9.25,
11,1090,1.16,8.0,1.0,9.25,
11,1090,1.16,8.0,1.0,9.25,
11,1090,1.16,8.0,1.0,9.25,
11,1090,1.16,8.0,1.0,9.25,
11,1040,1.46,8.0,0.776424,8.75,
12,1090,1.16,8.0,1.0,9.25,
12,1090,1.16,8.0,1.0,9.25,
12,1090,1.16,8.0,1.0,9.25,
12,1090,1.16,8.0,1.0,9.25,
12,1170,1.42,8.0,1.0,9.25,
12,1090,1.16,8.0,1.0,9.25,
12,1090,1.16,8.0,1.0,9.25,
12,1090,1.16,8.0,1.0,9.25,
12,1090,1.16,8.0,1.0,9.25,
12,1090,1.16,8.0,1.0,9.25,
12,1090,1.16,8.0,1.0,9.25,
12,1090,1.16,8.0,1.0,9.25,
12,1090,1.16,8.0,1.0,9.25,
12,1090,1.16,8.0,1.0,9.25,
12,1090,1.16,8.0,1.0,9.25,
12,1040,1.46,8.0,0.776424,8.75,
13,1090,1.16,8.0,1.0,9.25,
13,1090,1.16,8.0,1.0,9.25,
13,1090,1.16,8.0,1.0,9.25,
13,1090,1.16,8.0,1.0,9.25,
13,1170,1.42,8.0,1.0,9.25,
13,1090,1.16,8.0,1.0,9.25,
13,1090,1.16,8.0,1.0,9.25,
13,1090,1.16,8.0,1.0,9.25,
13,1090,1.16,8.0,1.0,9.25,
13,1090,1.16,8.0,1.0,9.25,
13,1090,1.16,8.0,1.0,9.25,
13,1090,1.16,8.0,1.0,9.25,
13,1090,1.16,8.0,1.0,9.25,
13,1090,1.16,8.0,1.0,9.25,
13,1090,1.16,8.0,1.0,9.25,
13,1090,1.16,8.0,1.0,9.25,
13,1090,1.16,8.0,1.0,9.25,
13,1090,1.16,8.0,1.0,9.25,
13,1090,1.16,8.0,1.0,9.25,
13,1090,1.16,8.0,1.0,9.25,
13,1040,1.46,8.0,0.776424,8.75,
13,1090,1.29,8.0,0.998958,9.0,
14,1090,1.16,8.0,1.0,9.25,
14,1090,1.16,8.0,1.0,9.25,
14,1090,1.16,8.0,1.0,9.25,
14,1090,1.16,8.0,1.0,9.25,
14,1170,1.42,8.0,1.0,9.25,
14,1090,1.16,8.0,1.0,9.25,
14,1090,1.16,8.0,1.0,9.25,
14,1090,1.16,8.0,1.0,9.25,
14,1090,1.16,8.0,1.0,9.25,
14,1090,1.16,8.0,1.0,9.25,
14,1090,1.16,8.0,1.0,9.25,
14,1090,1.16,8.0,1.0,9.25,
14,1090,1.16,8.0,1.0,9.25,
14,1090,1.16,8.0,1.0,9.25,
14,1090,1.16,8.0,1.0,9.25,
14,1090,1.16,8.0,1.0,9.25,
14,1090,1.16,8.0,1.0,9.25,
14,1090,1.16,8.0,1.0,9.25,
14,1090,1.16,8.0,1.0,9.25,
14,1090,1.16,8.0,1.0,9.25,
14,1170,1.42,8.0,1.0,9.25,
14,1090,1.16,8.0,1.0,9.25,
14,1090,1.16,8.0,1.0,9.25,
14,1090,1.16,8.0,1.0,9.25,
14,1090,1.16,8.0,1.0,9.25,
14,1040,1.46,8.0,0.776424,8.75,
14,1090,1.29,8.0,0.998958,9.0,
14,1090,1.29,8.0,0.998958,9.0,
